restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
Meghana Foods,Koramangala 5th Block,124 KHB Colony 1st Cross Near Jyothi Nivas College Koramangala 5th Block Bangalore,Biryani, Andhra, North Indian, Seafood, , , , 
Al Daaz,HSR,64 & 65 27th Main Road Sector 1 HSR Bangalore,North Indian, Continental, BBQ, , , , , 
Al Amanah Cafe,Kammanahalli,20 5th Avenue 5th Main Road Kammanahalli Bangalore,Middle Eastern, Fast Food, Rolls, Wraps, , , , 
Truffles,Koramangala 5th Block,28 4th B Cross Koramangala 5th Block Bangalore,Cafe, American, Burger, Steak, , , , 
Magnolia Bakery,Indiranagar,788 JK Plaza 12th Main Road Indiranagar Bangalore,Bakery, , , , , , , 
Empire Restaurant,Kammanahalli,83 Nehru Main Road Kammanahalli Bangalore,North Indian, Mughlai, South Indian, Chinese, Kerala, Biryani, Beverages, 
Glen's Bakehouse,Lavelle Road,24/1 Lavelle Road Bangalore,Bakery, Cafe, Italian, Desserts, , , , 
KFC,More MegaStore Marathahalli,More Super Market Opposite VIMS Hospital Outer Ring Road Marathahalli Bangalore,Burger, Fast Food, Finger Food, Beverages, , , , 
Kota Kachori,Koramangala 6th Block,635 100 Feet Road Koramangala 6th Block Bangalore,North Indian, Mithai, Street Food, , , , , 
Shivaji Military Hotel,Jayanagar,718 1st C Main 45th Cross 8th Block Jayanagar Bangalore,South Indian, Biryani, , , , , , 
Muthashy's,BTM,3 Brindavan Complex 20th Main Maruthi Nagar Main Road 1st Stage BTM Layout,Kerala, South Indian, Chinese, , , , , 
Imperio Restaurant,Brookefield,3 A Square Plaza Ground Floor ITPL Main Road Near Brookefield Mall Brookefield Bangalore,North Indian, Arabian, Mughlai, Biryani, Seafood, Chinese, , 
Kabab Magic,Jayanagar,1548 East End Circle 9th Block Jayanagar Bangalore,Kebab, North Indian, Chinese, Fast Food, Beverages, , , 
Byg Brewski Brewing Company,Sarjapur Road,Opposite MK Retail Sarjapur Road Bangalore,Continental, North Indian, Italian, South Indian, Finger Food, Pizza, , 
Kalingas,BTM,399 16th Main N.S Palya BTM Bangalore,North Indian, Odia, , , , , , 
CTR,Malleshwaram,7th Cross Margosa Road Malleshwaram Bangalore,South Indian, , , , , , , 
Asha Tiffins,HSR,1170 5th Main Road Sector 7 HSR Bangalore,South Indian, Chinese, North Indian, , , , , 
Cakewala,HSR,461 17th Cross 4th Sector HSR Bangalore,Bakery, , , , , , , 
Sri Jayadurga Biryani,Marathahalli,15 & 16 Srinivasareddy Building Lakshmi Narayana Temple Road Manjunatha Layout Munnekolla Marathahalli Bangalore,Biryani, Andhra, South Indian, , , , , 
Anand Sweets and Savouries,Whitefield,65 Whitefield Main Road Mahadevapura Whitefield Bangalore,Mithai, Street Food, Beverages, , , , , 
Homely Meal Box,JP Nagar,Delivery Only,North Indian, Beverages, , , , , , 
Leon Grill,Koramangala 5th Block,123 KHB 1st Cross Road Koramangala 5th Block Bangalore,American, Burger, Wraps, Fast Food, , , , 
Corner House Ice Cream,Jayanagar,1225 26th Main 9th Block Jayanagar Bangalore,Ice Cream, Desserts, , , , , , 
Vidyarthi Bhavan,Basavanagudi,32 Gandhi Bazaar Near Gandhi Bazaar Circle Basavanagudi Bangalore,South Indian, , , , , , , 
Hyderabadi Spice,Electronic City,70/1 Opposite Wipro Technologies Gate 12 Electronic City Bangalore,Biryani, North Indian, , , , , , 
Bhartiya Jalpan,Indiranagar,1138 13th Main Corner 100 Feet Road Indiranagar Bangalore,North Indian, Street Food, , , , , , 
